dataset,model_homo,model_hetero,init_lr,weight_decay,hiddden,dropout,epochs,avg_degree,isolated_nodes,h_ratio,acc,F1,D_sp,D_eo,acc_std,F1_std,D_sp_std,D_eo_std
Credit,appnp,mixhop,0.0001,0.001,32,0.5,2000,9.12667,0,0.85814,0.80705,0.88335,0.02185,0.00608,0.01286,0.00332,0.01396,0.00416
Credit,sage,mixhop,0.01,0.0001,32,0.5,2000,9.12667,0,0.85814,0.79301,0.87849,0.01595,0.01064,0.01208,0.00223,0.01338,0.00879
Credit,gcn,mixhop,0.0001,0.001,32,0.5,2000,9.12667,0,0.85814,0.79767,0.88228,0.0133,0.00295,0.00441,0.00184,0.00465,0.00231
